CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
TRUE,ALBORAN II,Alboran II,7306570,37213PEX1,Fishing Vessel,Trawl unspecified,,,,252,129,31.25,197404,3.75,"Gijon, Sociedad Metalurgica Duro Felguera - Gijon Yard/hull No.: 97, Spain",Redfin Investments SA,Redfin Investments SA,Total Loss,2019-12 - ,Cross-listing,2020 - ,Cross-listing,,,,,,,2008-03-18 - ,,,,2008-03-18 - ,,2008-08-04 - ,,,,,,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,ALFA,Alfa,7436533,C-00951,Reefer,,Georgia,4LPN,,669,518,55.02,197403,5.19,"Khabarovsk, Khabarovskiy Sudostroitelnyy Zavod im Kirova - Khabarovsk Yard/hull No.: 807, U.S.S.R.",Stratford Vale Corp,JSC Fishery Group,Total Loss,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2007-06-12 - 2009-11-13,OBS by NOR TRA in RA SCH 07/37,2008-01-05 - 2009-11-13,,,,,,,,,,,
TRUE,AMORINN,Amorinn,7036345,,Fishing Vessel,,Unknown,,,530,411,54.24,197003,3.75,"Niigata, Niigata, Niigata Engineering Co Ltd - Niigata NI Yard/hull No.: 866, Japan",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2003-11-07 - ,Inside Division 58.4.2,2007-10-31 - ,,,,2003 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,ANEKA 228,Aneka 228,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015-05 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,ANTONY,Antony,7236634,,Fishing Vessel,,Unknown,,,346,347,50.4,197200,3.61,"Shimizu, Shizuoka, Miho Zosensho K.K. Shimizu, Japan",World Ocean Fishing SL; World Oceans Fishing SL,,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2016-10-28 - ,Supporting IUU listed vessels,2016 - ,From CCAMLR,,,2016 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2019 - ,Cross-listing
FALSE,AQUARUS,Aquarus,,,,,St. Vincent and the Grenadines,,,,,,,,,,,,,,2004-11-21 - 2006-11-26,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,ARARAT/RESHMITHA,IND-TN-15- MM8297/ARARAT/RESH MITHA,,IND-TN-15- MM8297,Fishing Vessel,,India,,,,,,,,,,,,2021-06-09 - ,Vessel was not on the IOTC list of Authorised Fishing Vessels. The vessel had not submitted a transit reporting form to the BIOT Authorities. The vessel had gear (longlines) in the water.,,,,,,,,,,,,,2021-06 - ,Cross-listing,,,,,2021-07-12 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
FALSE,AROGYA ANNAI,BEO HINGIS,,IND-KL-04-MM-1617,Fishing Vessel,"Lines unspecified, Gillnets",India,,,86,,22,2012,,Kochi,Siraj,,,2017-05 - 2018-12-14,Fishing without a license in the waters of the UK (OT),2017-07-15 - 2019,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,ASIAN WARRIOR,ASIAN WARRIOR,7322897,,Fishing Vessel,,,,,"284.000, 656.000, 647.000",,48.21,197305,3.61,"Shizuoka, Shizuoka, Kanasashi Heavy Industries Co Ltd (Shimizu, Shizuoka , Japan), Japan",High Mountain Overseas S.A.,Rptd Sold Undisclosed Interest,In Service/commission,2015-05-01 - ,,2015-10-02 - ,Following IOTC,,,,,2003-11-07 - ,Inside Division 58.5.2,2007-10-31 - ,,,,2003 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,ATLANTIC GLORY,TS Elegance,8919403,11021791,Fishing Vessel,Purse seine,Belize,V3PB8,312864000,"2027.000, 2109.000, 1208.079",1650,79.8,199104,8.9,"Huelva S.A., Astilleros De, Spain","Zhong Gha Foods Co Ltd; Zhong Gha Foods Co Ltd, ZHONG GHA FOODS COMPANY LIMITED; Zhong Gha Foods Company Limited","Africa Star Fisheries Ltd, AFRICA STAR FISHERIES LIMITED; Africa Star Fisheries Limited",In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,ATLANTIC PRINCE,TS Emerald,8919415,"011121792, 011021792",Fishing Vessel,"Purse seine, Seine other",Belize,V3PG8,312867000,"2027.000, 2109.000",1650,79.8,199107,8.9,"Huelva S.A., Astilleros De, Spain","Zhong Gha Foods Co Ltd, ZHONG GHA FOODS COMPANY LIMITED; Zhong Gha Foods Company Limited","Africa Star Fisheries Ltd, AFRICA STAR FISHERIES LIMITED; Africa Star Fisheries Limited",In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,ATLANTIC QUEEN,TS Prosperity,9223227,"GSR 0179, 316640",Fishing Vessel,Purse seine,Ghana,9GHE,627179000,"1664.000, 1143.000",1566,"72.530, 72.500",200007,5.7,Niigata Shipbuilding & Repair Inc,"Zhong Gha Foods Co Ltd, ZHONG GHA FOODS COMPANY LIMITED; ZHONG  GHA FOODS COMPANY  LTD","Africa Star Fisheries Ltd, AFRICA STAR FISHERIES LIMITED; Zhong Gha Foods Co Ltd, ZHONG GHA FOODS COMPANY LIMITED",In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,ATLANTIC WIND,ATLANTIC WIND,9042001,,Fishing Vessel,Gillnets,Unknown,,,851,652,61.72,199012,4.17,"Busan, Dae Sun Shipbuilding & Engineering Co (Busan , Korea, South), Dae Sun Shipbuilding &amp; Engineering Pusan, South Korea, South Korea, Korea, South",High Mountain Overseas S.A.; Bright Future Invest NV,Bright Future Invest NV,In Service/commission,2015-05-01 - ,,2015-10-02 - ,,,,,,2004-11-05 - ,"Fishing inside Division 58.4.3b; Inside Division 58.4.3a; Fishing inside Division 58.4.3a; Undocumented landing, Malaysia",2007-10-31 - ,,,,2004 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,AVIOR,Avior,7612321,M-00890,Reefer,,Georgia,4LIJ,,673,518,55,197512,5.16,"Khabarovsk, Khabarovskiy Sudostroitelnyy Zavod im Kirova - Khabarovsk Yard/hull No.: 808, U.S.S.R.",ArdiStelo Ltd (OOO 'ArdiStella'),ArdiStelo Ltd (OOO 'ArdiStella'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2006-08-26 - 2009-11-13,1st OBS by NOR TRA in RA,2007-07-22 - 2009-11-13,,,,,,,,,,,
FALSE,BALENA,Balena,,,,,Unknown,,,,,,,,,Long Bow Fishing Co Ltd,,,2010-03-05 - 2011-03-22,Contravention of IOTC Resolution 07/02 and 09/03,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,BAROON,Baroon,9037537,,Fishing Vessel,Longline,Unknown,,,616,,55.16,"1990, 199108",3.75,"Shizuoka, Shizuoka, Kanasashi Heavy Industries Co Ltd, Japan",Vero Shipping Corporation,SAKATA HIROYUKI; Etterna Ship Management,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2007-11-02 - ,Inside Division 88.1; Fishing inside Division 58.4.1,2007-11-02 - ,,,,2007-11 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,BELLATOR,BELLATOR,9179359,,"Fishing Vessel, Stern Trawler","Trawl unspecified, Purse seine",Angola,D3P5442,603100323,707,600,47.45,199809,7.05,"Urk, Metz BV, Urk, NL, NETHERLANDS","Cat-Congelacao Atlantica Do Tombwa, S.A.",,Laid-Up,2019-12 - 2021,Cross-listing,,,,,,,,,,,,,,,,,2015-02-06 - 2021-02-05,Fishing in the SPRFMO Convention Area without authorisation and prolonged presence in the SPRFMO area,,,,,,,2019 - 2021,Cross-listing
FALSE,BENAIAH,BENAIAH,,TN-2/FV01699/13,Fishing Vessel,"Longline, Gillnets",India,,,,,,,,,Raju,Chris Lukaj,,2017-05 - 2018-12-14,Fishing without a license in the waters of the UK (OT),2017-07-15 - 2019,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,BHASKARA NO. 10,Bhaskara No. 10,,,,,Unknown,,,,,,,,,,,,2019-12 - ,Cross-listing,2011-08-30 - ,E11-5762,2005-12-26 - ,,,,,,,,,,2005-12 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,BHASKARA NO. 9,Bhaskara No. 9,,,,,Unknown,,,,,,,,,,,,2019-12 - ,Cross-listing,2011-08-30 - ,,2005-12-26 - ,,,,,,,,,,2005-12 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,BHINEKA,Bhineka,,,,,Indonesia,YGJY,,490,,43.7,,3.6,,,,,,,2011-08-30 - 2012-06-21,ref E11-5762,2005-12-26 - 2012-06-21,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"BIGEYE, BIG EYE",Bigeye,,SL/ITC/181104,,,Sierra Leone,FN003883,,,,,,,,MARIA FISHERY CO.LTD,,,2019-12 - ,Cross-listing,2006-11-26 - ,"vessels had no VMS, suspected of having no tuna licence and of possible at-sea transhipments",,,,,,,,,,,2006-11 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,BINH MINH 02,Pavlovsk,8326319,VNSG-2101-KS,"Seismic Survey Vessel, Research Survey Vessel",,Vietnam,3WYN,574756000,2319,721,62.26,198312,9.22,"Stralsund, VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 628, German Democratic Republic",PetroVietnam Technical Services Corp (PTSC) (Cong Ty Dich Vu Ky Thuat Dau Khi),PTSC Geos & Subsea Services Co Ltd,Laid-Up,,,,,,,,,,,2007-10-31 - 2008-04-27,,,,2005-11-18 - 2008-03-27,,2007-02-18 - 2008-04-27,,,,,,,,,,,
FALSE,BLAGODATNY,NEFELIN,7645237,,Fishing Vessel,,Ukraine,,272545000,"171.000, 201.000",88,34.02,197700,3.66,"Astrakhan, U.S.S.R.",Batisi Cooperative ('Kooperativ Batisi'),Batisi Cooperative ('Kooperativ Batisi'),In Service/commission,2019-12 - ,Cross-listing,2020 - ,Cross-listing,,,,,,,,,,,,,,,,,,,2018 - 2019-04-24,,,,2019 - ,Cross-listing
FALSE,BLUE OCEAN MARINE,Blue Ocean Marine,7826271,19921383,Fishing Vessel,,Belize,V3AF3,,2685,1741,84.99,198012,9.2,"Gdansk, Stocznia Polnocna SA (Northern Shipyard), Poland",Blue Ocean Marine Line SA,TS Marine Pte Ltd,Broken Up,2005-06-03 - 2007-05-18,"Contravention of IOTC Resolution 02/04, 02/05, 03/05",,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,BRAVO,Bravo,,,,,Palau,T8AN3,,,,,,,,,,,2019-12 - ,Cross-listing,2004-11-21 - ,"Sighting of tuna longliner in the Convention area, not on ICCAT Record of Vessels",,,,,,,,,,,2004-08 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,CAMELOT,Camelot,,,,,Unknown,,,,,,,,,,,,2019-12 - ,Cross-listing,2011-08-30 - ,,2005-12-26 - ,,,,,,,,,,2005-12 - ,Coss-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,CARIBBEAN STAR NO. 31,Caribbean Star No. 31,,,,,Colombia,,,88,,31.39,1980,3.55,Rodriguez Boat Builders Inc.,Crystal Ocean Inc.,,,,,,,2010-10-13 - 2011-07-01,Not authorized to fish,,,,,,,,,,,,,,,,,,,,,,
FALSE,CARIBE,Caribe,7351161,,"Fishing Vessel, Stern Trawler",Trawl unspecified,,,,1580,1626,87,197501,8.41,"Viareggio, Soc. Esercizio Cant. S.p.A. - Viareggio Yard/hull No.: 615, Italy",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,,,,,,,,,,,2007-10-31 - 2007-12-21,,,,2005-11-18 - 2007-11-16,,2007-02-18 - 2007-12-21,,,,,,,,,,,
TRUE,CARLOS,Daniaa,7234014,,Fishing Vessel,Longline,,,,312,,49.74,197209,3.66,"Shizuoka, Shizuoka, KK Kanasashi Zosen - Shimizu Yard/hull No.: 1082, Japan",Pesqueira Sao Tome Lda; SIPEM GUINEE SARL-PESQ.SAO TOME (ALPHA CAMARA),Pesqueira Sao Tome Lda,In Service/commission,2019-12 - ,Cross-listing,2008-11-24 - ,Bluefin tuna caught and exported without quota,,,,,,,,,,,2008 - ,,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,CARMAL MATHA,CARMAL MATHA,,TN-2/FV01675/13,Fishing Vessel,Lines unspecified,India,,,,,,,,,"Anthony J, s/o Joseph",Mr Antony,,2017-05 - 2018-12-14,Fishing without a license in the waters of the UK (OT),2017-07-15 - 2019,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,CARMEN,Carmen,8522030,M-01037,"Fishing Vessel, Stern Trawler",Trawl unspecified,,4LSK,,1898,690,62.26,198503,9.22,"Stralsund, VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 669, German Democratic Republic",A B Bocyp Fishing Ltd,Northern Fishers Co (OOO 'Severnaya Rybolovetskaya Kompaniya'),Broken Up,,,,,,,,,,,2007-10-31 - 2011,,,,2004-10-04 - 2009-11-13,,2006-09-22 - 2009-11-13,NAFO Div. 1F,,,,,,,,,,
FALSE,CEFEY,Cefey,7700104,,Reefer,,Russia,UGAU,,1727,2175,78.11,197807,7.52,"Buesum, Buesumer Werft GmbH - Buesum (Hull) Yard/hull No.: 269, Germany, Federal Republic Of",Rybprom-3 JSC (ZAO 'Rybprom-3'),Rybprom-3 JSC (ZAO 'Rybprom-3'),Broken Up,,,,,,,,,,,2007-10-31 - 2009-11-13,,,,2005-04-13 - 2009-11-13,"OBS with Panamanian Flag call sign: HP8520, OBS by NOR transhipping the in NEAFC Regulatory Area",2007-02-18 - 2009-11-13,,,,,,,,,,,
TRUE,CEVAHIR,GALA I,8133839,,"Research vessel, Fishing Vessel, Research Survey Vessel",Purse seine,Unknown,,,104,,23.75,198200,4,"Hoogezand, Jachtbouw en Constructiebedrijf Marcon - Hoogezand, Netherlands",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,2019-12 - ,Cross-listing,2008-11-24 - ,Use of fraudulent documentation,,,,,,,,,,,2008 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,CHALLENGE,Challenge,6622642,37571PEXT,Fishing Vessel,,,HO5381,,900,1145,45.7,1966,7.01,"Barreras S.A., Hijos De J. (Vigo , Spain), Vigo, Spain",Advantage Company SA,Advantage Company SA,Continued Existence In Doubt,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,2006-11-03 - ,Inside Division 58.4.3b; 58.4.3b; 58.4.3b; 58.4.3b,2007-10-31 - ,,,,2006 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
TRUE,CHI TONG,Chi Tong,,,,,,,,,,,,,,,,,2015-05-01 - ,Operating in the IOTC area without authorisation,2015-10-02 - ,Following IOTC,,,,,,,,,,,2015 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2021-06-05 - ,Cross-listing
FALSE,CHIA YU 3,Yu Long 33,,,,,Unknown,,,55,,22.1,2002,1.7,"Jin Jiahn Lih Shipbuilding Co., Ltd.",,Pesca Tuna SA; Pescatuna Sociedad Anonima,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
TRUE,CHOTCHAINAVEE 35,CHOTCHAINAVEE 35,,,"Fishing Vessel, Trawler",Trawls,Djibouti,,567000035,,,,,,,Green Laurel International,,,2019-06 - ,,2019-06-01 - ,Cross-listing,,,,,,,,,,,2019-06 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2020 - ,Cross-listing
TRUE,COBIJA,COBIJA,7330399,,"Fishing Vessel, Stern Trawler","Trawl unspecified, Gillnets",,,,"873.000, 873.250",,"52.000, 47.060",197311,5.62,"Marystown, NL, Canada",Express Financial Ventures Group Inc,Express Financial Ventures Group Inc,In Service/commission,2019-12 - ,Cross-listing,2019 - ,Cross-listing,,,,,,,2017 - ,Fishing inside FAO Area 47/48,,,2017 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,,,,,2019 - ,Cross-listing
FALSE,COMET,Comet,8324139,,Fishing Vessel,,Unknown,,,1007,853,62.82,198403,6.81,"Muroran, Hokkaido, Narasaki Zosen K.K., Japan",Credraf Associates SA,Jose Manuel Salgueiro,In Service/commission,,,,,,,,,2006-11-03 - 2008-11-07,Fishing inside Division 58.4.3b,2007-10-31 - 2008-11-07,,,,,,,,,,,,,,,,,
FALSE,CONCHITA VI,Conchita VI,,,,,Belize,V3TB7,,79,,23.8,2002,2,Shing Sheng Fa Boatbuilding Co. Ltd,Primero Fishery Co. Ltd,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,CRYSTAL CROWN,Ocean Explorer,7826245,,Fishing Vessel,Purse seine,,,,2685,1749,84.99,198012,9.22,"Gdansk, ul Marynarki Polskiej 177, 80-958 Gdansk, Poland","THAI TUNA FISHING Co., Ltd.",International Fishing Corp Pte Ltd,In Service/commission,2005-06-03 - 2006-05-26,Contravention of IOTC Resolution 02/04,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"DAE YANG NO. 606, NO.606 DAE YANG",Chang Yow No. 212,8013883,0809001-6261106,Fishing Vessel,Longline,South Korea,DTBV3,441527000,664,,55.89,198008,3.92,"Shizuoka, Shizuoka, 1980-08 KK Kanasashi Zosen - Shimizu Yard/hull No.: 2047, Japan","Grand Fishery Co., Ltd","Grand Fishery Co., Ltd",In Service/commission,,,2004-11-21 - 2006-11-26,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,DEWLI FISHING KUDAWELLA,IMUL-A-1028-TLE/DEWLI FISHING KUDAWELLA,,IMUL-A-1028-TLE,Fishing Vessel,,Sri Lanka,,,,,,,,,,,,2021-06-09 - ,Fishing in IOTC area whilst not on IOTC active fishing vessel list.,,,,,,,,,,,,,2021-06 - ,Cross-listing,,,,,2021-07-12 - ,Cross-listing,,,,,2022-03-04 - ,Cross-listing
FALSE,DIEGO STAR 2,DIEGO STAR 2,,,Fishing Vessel,,Comoros,D6A2026,,,,,,,,Rodia Processing Plant Co Ltd,Rodia Processing Plant Co Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06 - 2018-10-26,Fishing in the Agreement Area and not on the SIOFA Record of Authorised Vessels
FALSE,DIEGO STAR 3,DIEGO STAR 3,8001608,,Fishing Vessel,Longline,Comoros,D6A2132,,299,,50.77,198004,3.56,"Kochi, Kochi, Japan",Rodia Processing Plant Co Ltd,Rodia Processing Plant Co Ltd,"Total Loss, Sunk",,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06 - 2018-10-26,Fishing in the Agreement Area and not on the SIOFA Record of Authorised Vessels
FALSE,DIGNAMOL 1,DIGNAMOL 1,,IND-TN-15-MM-125,Fishing Vessel,Lines unspecified,India,,,,,,,,,"Jelvis s/o Dicostan; SD. Jelvish, s/o Dikostan",James Robert,,2017-05 - 2018-12-14,Fishing without a license in the waters of the UK (OT),2017-07-15 - 2019,Following IOTC,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,DOLFIN,Dolphin,8422852,,"Fishing Vessel, Stern Trawler",Trawl unspecified,Unknown,,,1898,690,62.26,198410,9.22,"Stralsund, VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 656, German Democratic Republic",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Scrapped,,,,,,,,,,,2007-10-31 - 2014-11-14,,,,2005-04-01 - 2014-11-14,OBS by EU and ISL fishing in the NEAFC Regulatory Area,2007-02-18 - 2014-11-14,,,,,,,,,,,
TRUE,DONG WON NO. 629,Melilla No. 103,7809986,9710003-6260008,Fishing Vessel,Longline,South Korea,DTAQ8,,422,425,52.75,197809,3.75,"Niigata, Niigata, Niigata Engineering Co Ltd - Niigata Yard/hull No.: 1607, Japan","Dongwon Industries Co Ltd, DONGWON INDUSTRIES CO LTD","Dongwon Industries Co Ltd, DONGWON INDUSTRIES CO LTD","Sunk, Total Loss",2019-12 - ,Cross-listing,2006-11-26 - ,Vessels greater than 24m not included in ICCAT Record of Vessels. Seen fishing in the MED during closed season,,,,,,,,,,,2006 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - 2022-03-04,Cross-listing
FALSE,DRAGON 18,Dragon 18,,,,,Belize,V3NS5,,99,,,,2,Chien Renn Shipbuilding Co. Ltd,,"Shung Ye Fishery Co., Ltd",,,,,,2005-12-26 - 2008-06-27,,,,,,,,,,,,,,,,,,,,,,,
FALSE,DRAGON 28,Dragon 28,,P13101,Fishing Vessel,Longline,Costa Rica,V3HT2,,90,,27.6,2002,2,"Chien Renn Shipbuilding Co. Ltd, Chien Renn Shipbuilding Company, Ltd.","3-102-749775 Sociedad De Responsabilidad, Ltd.",,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
TRUE,DRAGON III,Dragon III,,,,,Unknown,,,105,,23.8,1997,3.2,,Reino De Mar S.A.,Reino De Mar S.A.,,2019-12 - ,Cross-listing,2013-08-20 - ,,2005-12-26 - ,,,,,,,,,,2005 - ,Cross-listing,,,,,2020-02-26 - ,Cross-listing,2014-05 - ,,,,2019 - ,Cross-listing
FALSE,DRAGON VI,Dragon VI,,,,,Costa Rica,,,91,,26.5,1995,3.6,Tecnonaval S.A.,Hung Chuan Wang Shih / Astillero Mariscos del Pacífico SA,Pesca Tuna SA; Pescatuna Sociedad Anonima,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
FALSE,DRAGON XIII,Dragon XIII,,,,,Belize,,,,,,,,,,,,,,,,2005-12-26 - 2006-06-30,,,,,,,,,,,,,,,,,,,,,,,
